product_id,name,brand,category,selling_price,cost_price,status,promotion_type,promotion_start_date,promotion_end_date,discontinuation_date,stock,username,stars,review_text,review_date
PROD001,Classic CP Dumplings,CP,Frozen Food,68.15,61.44,active,,,,,in stock,johnsonjoshua,4,classic cp dumplings really impressed me. enjoyed it! the packaging was securely packaged. i found the taste to be pleasantly rich.,2025-07-29
PROD002,Extra Dove Conditioner,Dove,Health & Beauty,69.28,41.49,active,,,,,in stock,rhodespatricia,4,Value this! Extra Dove Conditioner is superb.,2025-07-04
PROD002,Extra Dove Conditioner,Dove,Health & Beauty,69.28,41.49,active,,,,,in stock,fjohnson,2,"Very unpleasant! Extra Dove Conditioner is disappointing.Feels runny in a bad way. Packaging felt loosely packaged, disappointing.",2025-07-29
PROD003,Premium McCain Fries,McCain,Frozen Food,24.17,14.48,active,,,,,in stock,hoffmanjennifer,5,Favor this! Premium McCain Fries is perfect.,2025-10-25
PROD003,Premium McCain Fries,McCain,Frozen Food,24.17,14.48,active,,,,,in stock,lrobinson,2,"premium mccain fries did not meet my expectations. disliked it.item was loosely packaged packed, poorly handled. texture is stale, which i disliked.",2025-08-08
PROD004,Premium Tefal Storage Boxes,Tefal,"Home & Living (Kitchenware, Storage, Bedding)",93.28,50.99,discontinued,,,,2025-12-06,OUT OF STOCK,helenpeterson,4,absolutely excellent! love it.has a practical aesthetic.  the packaging was well-packaged.,2025-07-17
PROD005,Deluxe Dettol Shaving Foam,Dettol,Personal Care,39.18,20.27,active,,,,,OUT OF STOCK,curtis61,4,Deluxe Dettol Shaving Foam exceeded my expectations. Love it!Feels creamy and pleasant to use. The unscented aroma is appealing and refreshing.,2025-08-23
PROD006,Deluxe Knife Sugar,Knife,Pantry Staples,24.63,15.76,active,,,,,in stock,cassandra07,5,"i've been using deluxe knife sugar for a while and it's excellent. i liked how the item was neatly packed.  i got it during a buy 1 get 1, which was nice.",2025-09-25
PROD007,Classic Sunkist Tomatoes,Sunkist,Fresh Produce,41.65,30.99,active,,,,,in stock,smiller,2,"I was unhappy with this product. Classic Sunkist Tomatoes felt disappointing.Item was damaged packed, poorly handled. Texture is mushy, which I disliked.",2025-11-17
PROD008,Premium FairPrice Sauces,FairPrice,Pantry Staples,32.14,24.44,promotion,,2025-10-25,2025-11-01,,OUT OF STOCK,barbara10,5,"absolutely amazing! cherish it. packaged well-packaged, v convenient. the taste is quite rich.",2025-10-18
PROD009,Deluxe Nivea Body Wash,Nivea,Health & Beauty,43.41,36.28,active,,,,,in stock,tracie31,3,"Deluxe Nivea Body Wash is fine, nothing fancy.Really appreciated the mild scent in this product.  I liked how the item was standard packaging.",2025-08-27
PROD010,Extra Marigold Milk,Marigold,Dairy & Eggs,23.73,17.45,active,,,,,OUT OF STOCK,xreid,5,Extra Marigold Milk exceeded my expectations. Favor it!I found Extra Marigold Milk dense when using it.  I liked how the item was neatly packed.,2025-07-18
PROD010,Extra Marigold Milk,Marigold,Dairy & Eggs,23.73,17.45,active,,,,,OUT OF STOCK,jason41,4,"Can't get enough of Extra Marigold Milk! It's high-quality. I liked how the item was well-packaged.  I got it during a limited offer, which was nice.",2025-10-08
PROD011,Deluxe Mr Muscle All-purpose Spray,Mr Muscle,Cleaning Supplies,45.04,23.57,active,,,,,in stock,amandasanchez,5,Favor this! Deluxe Mr Muscle All-purpose Spray is wonderful.,2025-09-11
PROD011,Deluxe Mr Muscle All-purpose Spray,Mr Muscle,Cleaning Supplies,45.04,23.57,active,,,,,in stock,veronica83,1,"Very poor! Deluxe Mr Muscle All-purpose Spray is disappointing.Texture is abrasive, which I disliked. Has a unpleasant aroma I did not like.",2025-10-22
PROD012,Premium Lays Bars,Lays,Snacks,15.84,11.71,active,,,,,in stock,perezantonio,3,"Overall, Premium Lays Bars seems nothing special. Took advantage of the Premium Lays Bars standard offer deal.  I liked how the item was standard packaging.",2025-08-15
PROD012,Premium Lays Bars,Lays,Snacks,15.84,11.71,active,,,,,in stock,carl95,3,"Overall, Premium Lays Bars seems fine. Purchased it with a price as usual offer. The balanced flavor is prominent and appealing.",2025-07-27
