campaign_id,name,campaign_type,target_segment,category,channel,offer_type,discount_percentage,discount_code,free_shipping,start_date,end_date,budget,is_ab_test,kpi_conversion_uplift_target,kpi_revenue_uplift_target,kpi_engagement_target
CAMP001,MegaMart CNY Beverages Deals,seasonal,New Customers,Beverages,Email,Discount on Category,9.0,CNYBEV9,False,2024-02-10,2024-02-17,48800,False,0.061,0.223,0.281
CAMP002,MegaMart CNY Beverages Deals,seasonal,Active Customers,Beverages,SMS,Discount on Category,5.0,CNYBEV5,False,2024-02-10,2024-02-17,6600,True,0.027,0.05,0.064
CAMP003,MegaMart CNY Beverages Deals,seasonal,Churn Risk Customers,Beverages,Email,Discount on Category,27.0,CNYBEV27,False,2024-02-10,2024-02-17,36200,False,0.078,0.131,0.173
CAMP004,MegaMart CNY Beverages Deals,seasonal,High Spenders,Beverages,Email,Discount on Category,27.0,CNYBEV27,False,2024-02-10,2024-02-17,28200,False,0.06,0.076,0.241
CAMP005,MegaMart CNY Beverages Deals,seasonal,Budget Shoppers,Beverages,Push Notifications,Discount on Category,17.0,CNYBEV17,False,2024-02-10,2024-02-17,6800,True,0.03,0.046,0.073
CAMP006,MegaMart CNY Lifestyle & Recreation Sale,seasonal,New Customers,Lifestyle & Recreation,SMS,Discount on Category,17.0,CNYL&R17,False,2024-02-10,2024-02-17,5700,False,0.031,0.055,0.079
CAMP007,MegaMart CNY Lifestyle & Recreation Sale,seasonal,Active Customers,Lifestyle & Recreation,Email,Discount on Category,11.0,CNYL&R11,False,2024-02-10,2024-02-17,46700,False,0.056,0.2,0.324
CAMP008,MegaMart CNY Lifestyle & Recreation Sale,seasonal,Churn Risk Customers,Lifestyle & Recreation,Email,Discount on Category,8.0,CNYL&R8,False,2024-02-10,2024-02-17,25400,False,0.052,0.12,0.147
CAMP009,MegaMart CNY Lifestyle & Recreation Sale,seasonal,High Spenders,Lifestyle & Recreation,SMS,Discount on Category,26.0,CNYL&R26,False,2024-02-10,2024-02-17,18000,False,0.061,0.097,0.092
CAMP010,MegaMart CNY Lifestyle & Recreation Sale,seasonal,Budget Shoppers,Lifestyle & Recreation,SMS,Discount on Category,28.0,CNYL&R28,False,2024-02-10,2024-02-17,16500,False,0.036,0.072,0.165
CAMP011,MegaMart CNY Frozen Food Deals,seasonal,New Customers,Frozen Food,Push Notifications,Discount on Category,26.0,CNYFROZEN26,False,2024-02-10,2024-02-17,21800,True,0.077,0.119,0.119
CAMP012,MegaMart CNY Frozen Food Deals,seasonal,Active Customers,Frozen Food,Email,Discount on Category,17.0,CNYFROZEN17,False,2024-02-10,2024-02-17,18000,False,0.034,0.114,0.137
CAMP013,MegaMart CNY Frozen Food Deals,seasonal,Churn Risk Customers,Frozen Food,Email,Discount on Category,25.0,CNYFROZEN25,False,2024-02-10,2024-02-17,33200,True,0.071,0.185,0.193
CAMP014,MegaMart CNY Frozen Food Deals,seasonal,High Spenders,Frozen Food,Push Notifications,Discount on Category,28.0,CNYFROZEN28,False,2024-02-10,2024-02-17,37300,False,0.091,0.179,0.205
CAMP015,MegaMart CNY Frozen Food Deals,seasonal,Budget Shoppers,Frozen Food,SMS,Discount on Category,12.0,CNYFROZEN12,False,2024-02-10,2024-02-17,9600,True,0.037,0.043,0.071
CAMP016,MegaMart CNY Deals,seasonal,New Customers,,SMS,Free Shipping,,FREESHIPPING,True,2024-02-10,2024-02-17,45100,False,0.093,0.087,0.226
CAMP017,MegaMart CNY Offer,seasonal,Churn Risk Customers,,SMS,Free Shipping,,FREESHIPPING,True,2024-02-10,2024-02-17,36800,False,0.118,0.068,0.256
CAMP018,MegaMart CNY Offer,seasonal,Budget Shoppers,,SMS,Free Shipping,,FREESHIPPING,True,2024-02-10,2024-02-17,42500,True,0.08,0.122,0.169
CAMP019,MegaMart CNY Offer,seasonal,Active Customers,,SMS,Discount on Cart,21.0,CNYSAVE21,False,2024-02-10,2024-02-17,12200,False,0.042,0.047,0.113
CAMP020,MegaMart CNY Deals,seasonal,High Spenders,,Email,Discount on Cart,9.0,CNYSAVE9,False,2024-02-10,2024-02-17,25000,False,0.081,0.109,0.197
CAMP021,MegaMart Christmas Electronics & Appliances Deals,seasonal,New Customers,Electronics & Appliances,Email,Discount on Category,6.0,XMASELEC6,False,2024-12-25,2024-12-25,16300,False,0.064,0.108,0.09
CAMP022,MegaMart Christmas Electronics & Appliances Deals,seasonal,Active Customers,Electronics & Appliances,Push Notifications,Discount on Category,29.0,XMASELEC29,False,2024-12-25,2024-12-25,35400,False,0.106,0.084,0.205
CAMP023,MegaMart Christmas Electronics & Appliances Deals,seasonal,Churn Risk Customers,Electronics & Appliances,Email,Discount on Category,21.0,XMASELEC21,False,2024-12-25,2024-12-25,40300,False,0.085,0.104,0.239
CAMP024,MegaMart Christmas Electronics & Appliances Deals,seasonal,High Spenders,Electronics & Appliances,Push Notifications,Discount on Category,27.0,XMASELEC27,False,2024-12-25,2024-12-25,20900,False,0.053,0.107,0.131
CAMP025,MegaMart Christmas Electronics & Appliances Deals,seasonal,Budget Shoppers,Electronics & Appliances,Email,Discount on Category,8.0,XMASELEC8,False,2024-12-25,2024-12-25,16700,True,0.039,0.069,0.133
CAMP026,MegaMart Christmas Bakery Sale,seasonal,New Customers,Bakery,Email,Discount on Category,7.0,XMASBAKE7,False,2024-12-25,2024-12-25,46900,False,0.119,0.12,0.356
